time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-05-19T22:05:26.350Z,32.7556667,-115.806,9.18,1.54,ml,27,76,0.115,0.18,ci,ci39659127,2021-05-19T23:17:02.832Z,"18km E of Ocotillo, CA",earthquake,0.25,0.68,0.182,28,reviewed,ci,ci
2021-05-19T21:55:05.030Z,35.9598333,-117.4588333,4.64,-0.56,ml,3,273,0.101,0.02,ci,ci39659103,2021-05-19T23:11:58.901Z,"22km NNW of Searles Valley, CA",earthquake,0.58,0.46,0.02,1,reviewed,ci,ci
2021-05-19T21:39:33.410Z,33.8495,-117.4826667,-0.53,1.38,ml,26,69,0.04478,0.22,ci,ci39659095,2021-05-19T23:10:26.541Z,"5km SE of Home Gardens, CA",quarry blast,0.3,31.61,0.208,22,reviewed,ci,ci
2021-05-19T21:39:26.420Z,38.8206673,-122.8461685,2.43,0.86,md,13,99,0.009038,0.01,nc,nc73564720,2021-05-19T23:07:21.288Z,"9km WNW of The Geysers, CA",earthquake,0.32,0.55,,3,automatic,nc,nc
2021-05-19T21:23:34.289Z,36.02833333,-98.09366667,5.86,2.28,ml,100,38,0.1133777514,0.17,ok,ok2021jttt,2021-05-19T22:32:27.646Z,"6 km NNE of Loyal, Oklahoma",earthquake,,0.3,0.24,20,reviewed,ok,ok
2021-05-19T21:20:44.610Z,35.9685,-117.3881667,3.85,1.33,ml,14,160,0.115,0.11,ci,ci39659071,2021-05-19T23:05:37.870Z,"22km N of Searles Valley, CA",earthquake,0.31,0.6,0.108,8,reviewed,ci,ci
2021-05-19T20:34:56.005Z,60.68,-148.2966,24.7,1.4,ml,,,,0.88,ak,ak0216e7tbet,2021-05-19T20:39:45.016Z,"23 km ESE of Whittier, Alaska",earthquake,,0.2,,,automatic,ak,ak
2021-05-19T20:06:39.100Z,32.9076667,-116.9453333,-0.17,1.58,ml,28,101,0.07178,0.33,ci,ci39658991,2021-05-19T20:50:53.921Z,"6km NNW of Lakeside, CA",quarry blast,0.57,31.61,0.153,16,reviewed,ci,ci
2021-05-19T20:04:08.040Z,37.1461678,-121.5593338,9.28,1.08,md,7,100,0.05633,0.05,nc,nc73564705,2021-05-19T22:17:19.002Z,"8km NNE of San Martin, CA",earthquake,0.68,2.04,0.12,8,automatic,nc,nc
2021-05-19T19:53:43.200Z,39.6040001,-121.5569992,2.96,2.53,md,7,170,0.06602,0.06,nc,nc73564700,2021-05-19T21:52:18.827Z,"10km N of Oroville, CA",earthquake,1.71,4.93,0.48,5,automatic,nc,nc
2021-05-19T19:48:31.219Z,36.411,-96.8845,6.24,0.62,ml,20,131,0.05128993517,0.14,ok,ok2021jtqq,2021-05-19T19:59:34.340Z,"10 km NW of Pawnee, Oklahoma",earthquake,,0.8,0.27,10,reviewed,ok,ok
2021-05-19T19:42:30.490Z,32.8175,-115.5763333,11.41,1.44,ml,14,122,0.08476,0.16,ci,ci39658927,2021-05-19T20:53:29.938Z,"3km S of Imperial, CA",earthquake,0.39,0.66,0.297,14,reviewed,ci,ci
2021-05-19T19:35:38.220Z,19.2328338623047,-155.398834228516,32.4300003051758,1.91999996,md,32,145,,0.129999995,hv,hv72475667,2021-05-19T19:38:59.150Z,"9 km ENE of Pāhala, Hawaii",earthquake,1.01,1.14999998,1.91999996,4,automatic,hv,hv
2021-05-19T19:32:43.310Z,33.6916667,-117.0973333,-0.54,0.91,ml,19,74,0.06634,0.19,ci,ci39658919,2021-05-19T20:50:37.918Z,"2km SW of Winchester, CA",quarry blast,0.49,31.61,0.087,6,reviewed,ci,ci
2021-05-19T19:31:10.610Z,19.0115,-67.5165,15,3.14,md,9,303,0.6282,0.13,pr,pr2021139003,2021-05-19T20:37:22.882Z,"72 km NW of San Antonio, Puerto Rico",earthquake,3.7,7.52,0.12,7,reviewed,pr,pr
2021-05-19T19:29:54.180Z,36.0506667,-89.8318333,11.71,2.38,md,39,45,0.06683,0.23,nm,nm60356966,2021-05-19T19:48:00.500Z,"2 km WNW of Cooter, Missouri",earthquake,0.4,0.55,0.196,27,reviewed,nm,nm
2021-05-19T19:19:52.886Z,63.1017,-150.4911,29,1.1,ml,,,,1,ak,ak0216e74ntk,2021-05-19T19:22:47.273Z,"68 km NNE of Petersville, Alaska",earthquake,,0.9,,,automatic,ak,ak
2021-05-19T19:19:51.113Z,31.61253909,-104.2735731,6.594311523,2.2,ml,25,59,0.2017239252,0.2,tx,tx2021jtpr,2021-05-19T19:36:29.943Z,"56 km NW of Toyah, Texas",earthquake,0.8665292704,1.669253688,0.1,10,reviewed,tx,tx
2021-05-19T19:14:43.200Z,33.2498333,-115.6741667,3.82,1.58,ml,5,282,0.07935,0.12,ci,ci39658895,2021-05-19T21:01:32.989Z,"12km SSE of Bombay Beach, CA",earthquake,1.29,0.34,0.015,3,reviewed,ci,ci
2021-05-19T19:07:43.080Z,17.9215,-67.018,10,2.91,md,20,243,0.1249,0.15,pr,pr2021139002,2021-05-19T19:24:00.180Z,"6 km SSE of La Parguera, Puerto Rico",earthquake,0.85,0.6,0.11,19,reviewed,pr,pr
2021-05-19T19:07:04.760Z,33.1665,-115.628,3.02,1.85,ml,43,52,0.01507,0.21,ci,ci39658871,2021-05-19T20:40:49.072Z,"12km WNW of Calipatria, CA",earthquake,0.19,0.21,0.142,46,reviewed,ci,ci
2021-05-19T18:54:56.890Z,33.257,-115.6178333,2.63,1.46,ml,4,196,0.07378,0.09,ci,ci39658855,2021-05-19T21:04:34.103Z,"9km WNW of Niland, CA",earthquake,2.97,1.83,0.11,3,reviewed,ci,ci
2021-05-19T18:52:28.250Z,19.155834197998,-155.424667358398,40.9799995422363,2.5999999,md,30,168,,0.370000005,hv,hv72475622,2021-05-19T18:55:45.360Z,"7 km SE of Pāhala, Hawaii",earthquake,1.18,1.83000004,2.5999999,4,automatic,hv,hv
2021-05-19T18:49:37.160Z,36.0346667,-117.5066667,6.78,0.73,ml,9,168,0.02732,0.05,ci,ci39658839,2021-05-19T20:25:49.653Z,"31km NNW of Searles Valley, CA",earthquake,0.3,0.39,0.201,5,reviewed,ci,ci
2021-05-19T18:47:37.300Z,19.1725006103516,-155.443832397461,32.7700004577637,1.91999996,md,23,212,,0.119999997,hv,hv72475602,2021-05-19T18:51:01.200Z,"4 km SE of Pāhala, Hawaii",earthquake,1.11,1.13,1.91999996,4,automatic,hv,hv
2021-05-19T18:46:47.165Z,60.1892,-151.2674,46.3,1.3,ml,,,,0.62,ak,ak0216e6p01c,2021-05-19T18:52:34.223Z,"8 km SE of Clam Gulch, Alaska",earthquake,,1.4,,,automatic,ak,ak
2021-05-19T18:33:02.330Z,32.752,-115.8135,3.52,1.05,ml,16,65,0.1216,0.14,ci,ci39658807,2021-05-19T20:23:02.724Z,"17km E of Ocotillo, CA",earthquake,0.2,0.9,0.216,8,reviewed,ci,ci
2021-05-19T18:24:02.020Z,44.7566667,-111.1683333,14.16,0.86,md,7,154,0.0207,0.2,uu,uu60436507,2021-05-19T19:25:09.380Z,"2 km SE of Hebgen Lake Estates, Montana",earthquake,1.77,2.8,0.448,3,reviewed,uu,uu
2021-05-19T18:13:18.359Z,60.2793,-150.9846,63.7,1.3,ml,,,,0.27,ak,ak0216e6hv97,2021-05-19T18:19:10.730Z,"17 km ESE of Kasilof, Alaska",earthquake,,0.8,,,automatic,ak,ak
2021-05-19T18:12:25.150Z,19.5091666666667,-155.651833333333,1.02,0.72,md,8,108,,0.1,hv,hv72475557,2021-05-19T19:30:29.140Z,"23 km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.44,31.61,0.0457818665235742,4,reviewed,hv,hv
2021-05-19T17:54:36.156Z,-36.7576,-110.3696,10,5.1,mb,,109,9.642,1.76,us,us7000e4j2,2021-05-19T18:14:03.040Z,"southern East Pacific Rise",earthquake,12.1,1.8,0.039,209,reviewed,us,us
2021-05-19T17:38:29.720Z,37.5125,-118.771,3.61,0.72,md,15,115,0.09012,0.04,nc,nc73564675,2021-05-19T20:18:19.689Z,"10km SW of Toms Place, CA",earthquake,0.44,31.61,0.082,12,reviewed,nc,nc
